accident_id,0,injury_id,1
3642,3642,0,0
3,3,0,0
3923,3923,0,0
6,6,0,0
7,7,0,0
18286,18286,0,0
3468,3468,58,58
3467,3467,56,56
11399,11399,0,0
12,12,53,53
13,13,0,0
8948,8948,0,0
16,16,0,0
17,17,0,0
938,938,0,0
21,21,0,0
22,22,59,59
2514,2514,0,0
24,24,0,0
26,26,0,0
27,27,0,0
8321,8321,0,0
30,30,0,0
32,32,0,0
3992,3992,0,0
34,34,53,53
35,35,0,0
88,88,0,0
3755,3755,0,0
3707,3707,0,0
39,39,0,0
3223,3223,0,0
3092,3092,0,0
2745,2745,0,0
8396,8396,0,0
11805,11805,0,0
48,48,0,0
52,52,52,52
16848,16848,0,0
8874,8874,0,0
57,57,52,52
59,59,51,51
1,1,0,0
2,2,0,0
62,62,0,0
8,8,0,0
5,5,0,0
65,65,0,0
67,67,0,0
9,9,0,0
69,69,0,0
10,10,52,52
71,71,0,0
11,11,51,51
11,11,52,52
14,14,0,0
15,15,0,0
78,78,52,52
18,18,0,0
80,80,0,0
19,19,0,0
82,82,0,0
83,83,0,0
84,84,0,0
23,23,0,0
86,86,0,0
87,87,0,0
25,25,52,52
28,28,0,0
29,29,0,0
95,95,52,52
99,99,0,0
100,100,0,0
31,31,0,0
33,33,0,0
106,106,53,53
36,36,54,54
37,37,52,52
112,112,59,59
37,37,54,54
114,114,59,59
115,115,59,59
38,38,0,0
117,117,53,53
50486,50486,54,54
119,119,56,56
120,120,54,54
41,41,0,0
42,42,0,0
146,146,0,0
148,148,59,59
43,43,0,0
151,151,59,59
152,152,0,0
44,44,0,0
159,159,59,59
162,162,0,0
46,46,0,0
164,164,0,0
47,47,0,0
175,175,0,0
49,49,54,54
178,178,59,59
181,181,0,0
50,50,0,0
183,183,56,56
51,51,0,0
53,53,52,52
190,190,56,56
191,191,0,0
192,192,0,0
54,54,0,0
195,195,51,51
56,56,0,0
202,202,0,0
204,204,56,56
205,205,58,58
206,206,59,59
207,207,57,57
209,209,54,54
212,212,51,51
217,217,55,55
58,58,0,0
60,60,0,0
61,61,54,54
223,223,59,59
224,224,59,59
227,227,54,54
228,228,58,58
66,66,0,0
68,68,0,0
240,240,54,54
245,245,59,59
246,246,53,53
247,247,59,59
248,248,59,59
249,249,56,56
252,252,56,56
70,70,0,0
73,73,0,0
256,256,0,0
257,257,56,56
75,75,0,0
77,77,0,0
79,79,0,0
269,269,56,56
270,270,58,58
92,92,0,0
275,275,0,0
93,93,0,0
94,94,0,0
97,97,0,0
58181,58181,0,0
283,283,56,56
101,101,0,0
102,102,0,0
291,291,53,53
294,294,51,51
298,298,56,56
300,300,51,51
301,301,51,51
302,302,59,59
109,109,0,0
304,304,54,54
305,305,59,59
307,307,54,54
308,308,59,59
132,132,0,0
143,143,0,0
317,317,59,59
318,318,0,0
50518,50518,55,55
335,335,56,56
337,337,56,56
338,338,56,56
149,149,0,0
340,340,56,56
341,341,56,56
155,155,56,56
344,344,54,54
345,345,54,54
163,163,0,0
348,348,59,59
350,350,0,0
176,176,0,0
355,355,0,0
182,182,0,0
9171,9171,57,57
360,360,54,54
16367,16367,0,0
18081,18081,0,0
25164,25164,0,0
370,370,0,0
21392,21392,0,0
374,374,0,0
3895,3895,54,54
381,381,56,56
383,383,0,0
3845,3845,59,59
2374,2374,0,0
4009,4009,0,0
395,395,54,54
3773,3773,0,0
398,398,53,53
399,399,51,51
400,400,54,54
2265,2265,0,0
3306,3306,0,0
3074,3074,0,0
50560,50560,0,0
50328,50328,0,0
50193,50193,0,0
50135,50135,0,0
62905,62905,0,0
50179,50179,0,0
18758,18758,55,55
406,406,0,0
407,407,0,0
408,408,0,0
409,409,0,0
14074,14074,53,53
50352,50352,53,53
193,193,54,54
219,219,0,0
220,220,52,52
221,221,0,0
229,229,0,0
424,424,0,0
425,425,0,0
426,426,0,0
238,238,0,0
428,428,0,0
46712,46712,59,59
431,431,0,0
101136,101136,0,0
953,953,0,0
258,258,56,56
264,264,58,58
436,436,53,53
272,272,56,56
276,276,54,54
441,441,0,0
442,442,0,0
443,443,52,52
444,444,59,59
279,279,0,0
447,447,0,0
288,288,0,0
289,289,0,0
452,452,53,53
299,299,54,54
454,454,0,0
455,455,0,0
303,303,0,0
459,459,0,0
11893,11893,0,0
462,462,0,0
314,314,0,0
315,315,54,54
316,316,0,0
339,339,0,0
467,467,0,0
343,343,56,56
347,347,54,54
471,471,0,0
354,354,0,0
474,474,0,0
475,475,0,0
367,367,54,54
478,478,0,0
479,479,52,52
481,481,0,0
481,481,52,52
482,482,51,51
368,368,0,0
369,369,0,0
372,372,0,0
488,488,0,0
377,377,0,0
378,378,0,0
492,492,0,0
380,380,0,0
382,382,0,0
498,498,0,0
499,499,0,0
500,500,0,0
501,501,53,53
503,503,0,0
387,387,0,0
509,509,0,0
388,388,53,53
511,511,0,0
512,512,0,0
397,397,53,53
516,516,52,52
518,518,0,0
402,402,0,0
521,521,0,0
522,522,54,54
525,525,0,0
410,410,0,0
412,412,0,0
533,533,0,0
414,414,0,0
415,415,52,52
537,537,0,0
538,538,0,0
417,417,0,0
546,546,54,54
548,548,51,51
549,549,55,55
550,550,55,55
551,551,55,55
427,427,0,0
429,429,0,0
438,438,0,0
572,572,0,0
573,573,55,55
574,574,0,0
440,440,0,0
576,576,55,55
445,445,0,0
446,446,0,0
450,450,0,0
581,581,0,0
582,582,59,59
457,457,0,0
586,586,55,55
460,460,0,0
589,589,58,58
461,461,0,0
592,592,52,52
469,469,0,0
598,598,54,54
599,599,0,0
601,601,0,0
470,470,55,55
473,473,0,0
477,477,54,54
483,483,0,0
609,609,0,0
489,489,0,0
614,614,0,0
615,615,0,0
616,616,0,0
617,617,0,0
493,493,0,0
620,620,0,0
624,624,0,0
625,625,0,0
552,552,55,55
9559,9559,0,0
9187,9187,0,0
14075,14075,0,0
635,635,0,0
636,636,0,0
3675,3675,0,0
2317,2317,0,0
12273,12273,0,0
373,373,0,0
2978,2978,53,53
650,650,0,0
12065,12065,0,0
652,652,0,0
595,595,0,0
494,494,0,0
661,661,58,58
662,662,58,58
663,663,0,0
504,504,0,0
510,510,0,0
669,669,0,0
513,513,0,0
514,514,0,0
674,674,0,0
600,600,0,0
515,515,56,56
517,517,0,0
1044,1044,54,54
520,520,0,0
523,523,0,0
524,524,0,0
529,529,0,0
686,686,0,0
530,530,0,0
688,688,52,52
689,689,52,52
534,534,0,0
535,535,0,0
694,694,0,0
539,539,0,0
696,696,54,54
1044,1044,55,55
540,540,0,0
541,541,0,0
542,542,55,55
622,622,55,55
40731,40731,59,59
701,701,0,0
545,545,0,0
41781,41781,53,53
704,704,56,56
559,559,0,0
706,706,0,0
707,707,0,0
40372,40372,53,53
560,560,0,0
40372,40372,55,55
713,713,0,0
564,564,0,0
565,565,0,0
566,566,0,0
567,567,0,0
570,570,0,0
575,575,58,58
724,724,55,55
725,725,59,59
553,553,54,54
727,727,0,0
729,729,52,52
579,579,59,59
580,580,55,55
584,584,55,55
734,734,0,0
588,588,55,55
749,749,51,51
590,590,0,0
593,593,0,0
756,756,0,0
757,757,0,0
597,597,0,0
760,760,0,0
761,761,0,0
603,603,0,0
605,605,0,0
606,606,0,0
547,547,53,53
607,607,0,0
41511,41511,0,0
1043,1043,54,54
612,612,55,55
774,774,0,0
619,619,0,0
621,621,0,0
40369,40369,0,0
627,627,51,51
630,630,0,0
783,783,52,52
632,632,0,0
1043,1043,55,55
788,788,0,0
40463,40463,0,0
34253,34253,0,0
34029,34029,0,0
792,792,53,53
793,793,53,53
795,795,0,0
797,797,54,54
798,798,54,54
800,800,0,0
802,802,0,0
646,646,0,0
50329,50329,0,0
657,657,0,0
666,666,0,0
813,813,0,0
667,667,52,52
668,668,52,52
816,816,0,0
670,670,52,52
818,818,0,0
819,819,0,0
820,820,52,52
822,822,0,0
951,951,0,0
672,672,0,0
830,830,0,0
683,683,0,0
684,684,0,0
685,685,0,0
837,837,0,0
687,687,0,0
690,690,0,0
692,692,51,51
841,841,0,0
693,693,52,52
843,843,0,0
695,695,0,0
847,847,0,0
848,848,0,0
850,850,0,0
851,851,0,0
852,852,53,53
700,700,0,0
702,702,54,54
859,859,0,0
860,860,53,53
861,861,0,0
703,703,53,53
863,863,0,0
865,865,0,0
710,710,0,0
715,715,0,0
718,718,54,54
873,873,0,0
719,719,0,0
720,720,53,53
876,876,0,0
877,877,0,0
721,721,54,54
879,879,0,0
881,881,0,0
730,730,0,0
883,883,0,0
884,884,0,0
731,731,56,56
886,886,0,0
733,733,0,0
889,889,0,0
747,747,0,0
896,896,0,0
902,902,0,0
754,754,0,0
755,755,0,0
758,758,0,0
908,908,0,0
8999,8999,0,0
909,909,0,0
16494,16494,0,0
3418,3418,0,0
226,226,0,0
3420,3420,0,0
916,916,0,0
917,917,52,52
918,918,0,0
787,787,0,0
922,922,55,55
356,356,0,0
14077,14077,0,0
10794,10794,0,0
8322,8322,0,0
933,933,0,0
765,765,0,0
768,768,0,0
771,771,0,0
939,939,0,0
777,777,0,0
942,942,0,0
778,778,0,0
944,944,55,55
779,779,0,0
947,947,54,54
16488,16488,0,0
780,780,0,0
50242,50242,0,0
784,784,0,0
785,785,0,0
960,960,0,0
786,786,0,0
804,804,53,53
805,805,0,0
810,810,0,0
973,973,0,0
812,812,0,0
814,814,0,0
815,815,0,0
817,817,0,0
825,825,0,0
50362,50362,0,0
986,986,54,54
986,986,55,55
988,988,54,54
988,988,55,55
834,834,54,54
991,991,55,55
835,835,0,0
836,836,53,53
556,556,0,0
996,996,55,55
997,997,55,55
839,839,0,0
563,563,0,0
1002,1002,55,55
849,849,0,0
853,853,0,0
34385,34385,0,0
1006,1006,55,55
1007,1007,0,0
50375,50375,56,56
1012,1012,0,0
1013,1013,52,52
1014,1014,55,55
1017,1017,54,54
866,866,0,0
1020,1020,55,55
1021,1021,54,54
1021,1021,55,55
1022,1022,59,59
868,868,0,0
869,869,0,0
871,871,0,0
1025,1025,55,55
1026,1026,55,55
874,874,0,0
875,875,0,0
55341,55341,52,52
878,878,0,0
1033,1033,55,55
882,882,52,52
31965,31965,52,52
890,890,0,0
899,899,0,0
901,901,0,0
41782,41782,0,0
27066,27066,0,0
907,907,0,0
907,907,54,54
1047,1047,59,59
50275,50275,0,0
50401,50401,0,0
1048,1048,0,0
910,910,0,0
912,912,55,55
912,912,58,58
913,913,55,55
1053,1053,0,0
914,914,55,55
1056,1056,0,0
1057,1057,0,0
35500,35500,0,0
921,921,56,56
924,924,0,0
1065,1065,0,0
56690,56690,54,54
1071,1071,53,53
1072,1072,0,0
1073,1073,0,0
107,107,0,0
1076,1076,0,0
929,929,0,0
934,934,0,0
1083,1083,53,53
1084,1084,56,56
937,937,0,0
1089,1089,0,0
1090,1090,55,55
941,941,0,0
943,943,0,0
946,946,59,59
950,950,0,0
952,952,52,52
958,958,0,0
959,959,54,54
962,962,0,0
963,963,52,52
1101,1101,54,54
1101,1101,55,55
964,964,52,52
965,965,0,0
1106,1106,55,55
1108,1108,59,59
1110,1110,55,55
1110,1110,59,59
1112,1112,55,55
1113,1113,55,55
966,966,51,51
968,968,0,0
969,969,0,0
1120,1120,0,0
970,970,0,0
1122,1122,0,0
1123,1123,55,55
1124,1124,0,0
1126,1126,55,55
1127,1127,55,55
1130,1130,55,55
1130,1130,59,59
1133,1133,54,54
1133,1133,55,55
1135,1135,0,0
974,974,0,0
975,975,0,0
1143,1143,55,55
978,978,0,0
979,979,0,0
980,980,0,0
1152,1152,55,55
1153,1153,55,55
1156,1156,55,55
9079,9079,0,0
196,196,0,0
10799,10799,0,0
14136,14136,0,0
1171,1171,0,0
9848,9848,0,0
982,982,55,55
2020,2020,55,55
983,983,54,54
984,984,55,55
2049,2049,0,0
994,994,0,0
2054,2054,55,55
995,995,55,55
2073,2073,55,55
999,999,54,54
999,999,55,55
1005,1005,0,0
1009,1009,55,55
1016,1016,52,52
1018,1018,58,58
2152,2152,56,56
1023,1023,55,55
2178,2178,55,55
1036,1036,54,54
1036,1036,55,55
2271,2271,0,0
1038,1038,55,55
1039,1039,59,59
2311,2311,52,52
2315,2315,0,0
1042,1042,0,0
2339,2339,55,55
2357,2357,53,53
2359,2359,0,0
2363,2363,0,0
1050,1050,55,55
1055,1055,0,0
2388,2388,53,53
2398,2398,0,0
2423,2423,0,0
1061,1061,0,0
1062,1062,52,52
2438,2438,0,0
2446,2446,55,55
2453,2453,0,0
1064,1064,0,0
2462,2462,55,55
1066,1066,0,0
604,604,0,0
2472,2472,0,0
602,602,0,0
2490,2490,0,0
1079,1079,0,0
2502,2502,0,0
2506,2506,0,0
1080,1080,0,0
34246,34246,0,0
1086,1086,0,0
2540,2540,58,58
1087,1087,56,56
1091,1091,55,55
1092,1092,55,55
2572,2572,55,55
2606,2606,0,0
1093,1093,54,54
2611,2611,0,0
2618,2618,0,0
1093,1093,59,59
2624,2624,0,0
1096,1096,54,54
2657,2657,0,0
2662,2662,0,0
2667,2667,0,0
1096,1096,55,55
1097,1097,55,55
1100,1100,55,55
2682,2682,0,0
2689,2689,0,0
1100,1100,59,59
2716,2716,0,0
2718,2718,0,0
1116,1116,55,55
2723,2723,52,52
2725,2725,0,0
2737,2737,0,0
1137,1137,0,0
1139,1139,55,55
1139,1139,59,59
2747,2747,0,0
2749,2749,0,0
1146,1146,55,55
1146,1146,59,59
1149,1149,52,52
2757,2757,53,53
41785,41785,0,0
1162,1162,59,59
2794,2794,0,0
35849,35849,53,53
2834,2834,0,0
2839,2839,52,52
1164,1164,0,0
33117,33117,0,0
1167,1167,55,55
2885,2885,58,58
2893,2893,52,52
2897,2897,0,0
35892,35892,0,0
2907,2907,52,52
2914,2914,0,0
2916,2916,0,0
2918,2918,0,0
2922,2922,53,53
2924,2924,0,0
2045,2045,0,0
2930,2930,0,0
2047,2047,0,0
2947,2947,0,0
2953,2953,0,0
2087,2087,0,0
2104,2104,57,57
2106,2106,0,0
3040,3040,0,0
2129,2129,0,0
3059,3059,0,0
3066,3066,59,59
2139,2139,55,55
2141,2141,55,55
3077,3077,54,54
2145,2145,0,0
2147,2147,0,0
2183,2183,0,0
2195,2195,0,0
3093,3093,0,0
50137,50137,0,0
2209,2209,52,52
3099,3099,0,0
2218,2218,0,0
3111,3111,0,0
2275,2275,0,0
2281,2281,56,56
3116,3116,0,0
3124,3124,0,0
3126,3126,59,59
2321,2321,0,0
3133,3133,0,0
2331,2331,0,0
3137,3137,0,0
3141,3141,53,53
4005,4005,55,55
867,867,0,0
3160,3160,0,0
3172,3172,0,0
3178,3178,0,0
14278,14278,0,0
8884,8884,0,0
2344,2344,54,54
2361,2361,0,0
3214,3214,55,55
2366,2366,56,56
2384,2384,55,55
2427,2427,0,0
3225,3225,0,0
3255,3255,55,55
3256,3256,0,0
2458,2458,0,0
3259,3259,59,59
3260,3260,0,0
3261,3261,53,53
3262,3262,0,0
3263,3263,55,55
2464,2464,0,0
3275,3275,54,54
3276,3276,0,0
2465,2465,0,0
2470,2470,55,55
3298,3298,0,0
3301,3301,56,56
3302,3302,58,58
2475,2475,0,0
3307,3307,0,0
2526,2526,0,0
2530,2530,0,0
3313,3313,0,0
2543,2543,0,0
2568,2568,52,52
3317,3317,0,0
2568,2568,54,54
3320,3320,58,58
3321,3321,0,0
3323,3323,0,0
3324,3324,0,0
2620,2620,0,0
2627,2627,0,0
2638,2638,52,52
3337,3337,55,55
3338,3338,0,0
2638,2638,58,58
3341,3341,0,0
3342,3342,55,55
2672,2672,0,0
3345,3345,0,0
3346,3346,0,0
2678,2678,0,0
2680,2680,0,0
2694,2694,0,0
2697,2697,0,0
2710,2710,0,0
2720,2720,52,52
3358,3358,0,0
3362,3362,55,55
2729,2729,0,0
3364,3364,58,58
2731,2731,0,0
3369,3369,0,0
2733,2733,0,0
3373,3373,0,0
3375,3375,0,0
3378,3378,0,0
3388,3388,0,0
2739,2739,0,0
3392,3392,52,52
2743,2743,0,0
2751,2751,0,0
2753,2753,0,0
3395,3395,0,0
3396,3396,0,0
3397,3397,0,0
3398,3398,0,0
2755,2755,0,0
2759,2759,0,0
3401,3401,55,55
2783,2783,0,0
3403,3403,0,0
2831,2831,0,0
3412,3412,55,55
3414,3414,0,0
3415,3415,0,0
2848,2848,0,0
2855,2855,0,0
2876,2876,0,0
2887,2887,53,53
3421,3421,55,55
596,596,0,0
3431,3431,0,0
2912,2912,54,54
2926,2926,0,0
2928,2928,55,55
3443,3443,55,55
2937,2937,0,0
2943,2943,0,0
2955,2955,0,0
3454,3454,0,0
3455,3455,0,0
2976,2976,0,0
3006,3006,54,54
3013,3013,0,0
3045,3045,0,0
3057,3057,0,0
3076,3076,0,0
3080,3080,0,0
3469,3469,0,0
3471,3471,0,0
3474,3474,0,0
3476,3476,58,58
3087,3087,0,0
3479,3479,0,0
3088,3088,59,59
3090,3090,55,55
3091,3091,0,0
3094,3094,0,0
3495,3495,0,0
3496,3496,0,0
3498,3498,0,0
3096,3096,55,55
3098,3098,0,0
3503,3503,0,0
3100,3100,0,0
3109,3109,0,0
3110,3110,0,0
3112,3112,0,0
3508,3508,0,0
3113,3113,54,54
3115,3115,0,0
1003,1003,52,52
3128,3128,0,0
41787,41787,0,0
3140,3140,0,0
3148,3148,53,53
3149,3149,0,0
3150,3150,0,0
3163,3163,0,0
3171,3171,0,0
3173,3173,52,52
3182,3182,0,0
3183,3183,52,52
3183,3183,59,59
3532,3532,55,55
3186,3186,0,0
3534,3534,0,0
3205,3205,0,0
3208,3208,0,0
3217,3217,53,53
3218,3218,0,0
3543,3543,53,53
3222,3222,0,0
3224,3224,0,0
3546,3546,0,0
3547,3547,55,55
3257,3257,55,55
3258,3258,55,55
3265,3265,0,0
3551,3551,0,0
3294,3294,0,0
3297,3297,52,52
3305,3305,0,0
3308,3308,0,0
3556,3556,52,52
3308,3308,51,51
3309,3309,0,0
3315,3315,0,0
3316,3316,54,54
3319,3319,0,0
3574,3574,0,0
3322,3322,54,54
3577,3577,0,0
3578,3578,55,55
3326,3326,53,53
3327,3327,0,0
3340,3340,0,0
3584,3584,58,58
33420,33420,0,0
3586,3586,0,0
3348,3348,0,0
3588,3588,0,0
3350,3350,0,0
3595,3595,54,54
50178,50178,0,0
3603,3603,58,58
3355,3355,52,52
3605,3605,0,0
3356,3356,0,0
3357,3357,0,0
3610,3610,0,0
3613,3613,0,0
3614,3614,0,0
3363,3363,0,0
2390,2390,0,0
3621,3621,0,0
3622,3622,0,0
3629,3629,0,0
3630,3630,59,59
27067,27067,52,52
3632,3632,0,0
3637,3637,0,0
12063,12063,0,0
3370,3370,0,0
3390,3390,0,0
3393,3393,54,54
3393,3393,55,55
3649,3649,53,53
3650,3650,0,0
3394,3394,0,0
3400,3400,51,51
3400,3400,59,59
3656,3656,0,0
3660,3660,0,0
3416,3416,0,0
3419,3419,0,0
3430,3430,55,55
3436,3436,55,55
3437,3437,52,52
14137,14137,55,55
3441,3441,0,0
3449,3449,56,56
3681,3681,55,55
3452,3452,0,0
3453,3453,0,0
3456,3456,0,0
3457,3457,0,0
3460,3460,0,0
3461,3461,0,0
3462,3462,0,0
3477,3477,0,0
3485,3485,0,0
3698,3698,54,54
3699,3699,0,0
3486,3486,0,0
3703,3703,52,52
3490,3490,0,0
3493,3493,0,0
3708,3708,58,58
3715,3715,0,0
3499,3499,0,0
3502,3502,55,55
3504,3504,0,0
3724,3724,55,55
3728,3728,0,0
3505,3505,0,0
